    0.0000: [CPU_0] Task T1-HC -> START
    0.0000: [CPU_1] Task T3-HC -> START
    0.0000: [CPU_2] Task T5-HC -> START
    0.0000: [CPU_3] Task T4-HC -> START
    0.0000: [CPU_4] Task T2-HC -> START
    0.0000: [CPU_5] Task T8-LC -> START
    0.0000: [CPU_6] Task T10-LC -> START
    0.0000: [CPU_7] Task T9-LC -> START
   33.0000: [CPU_5] Task T8-LC -> FINISH
   40.0000: [CPU_5] Task T8-LC -> START
   73.0000: [CPU_5] Task T8-LC -> FINISH
   80.0000: [CPU_5] Task T8-LC -> START
  113.0000: [CPU_5] Task T8-LC -> FINISH
  119.0000: [CPU_7] Task T9-LC -> FINISH
  120.0000: [CPU_5] Task T8-LC -> START
  147.0000: [CPU_6] Task T10-LC -> FINISH
  153.0000: [CPU_5] Task T8-LC -> FINISH
  160.0000: [CPU_5] Task T8-LC -> START
  193.0000: [CPU_5] Task T8-LC -> FINISH
  200.0000: [CPU_5] Task T8-LC -> START
  200.0000: [CPU_6] Task T10-LC -> START
  200.0000: [CPU_7] Task T9-LC -> START
  233.0000: [CPU_5] Task T8-LC -> FINISH
  240.0000: [CPU_5] Task T8-LC -> START
  273.0000: [CPU_5] Task T8-LC -> FINISH
  280.0000: [CPU_5] Task T8-LC -> START
  313.0000: [CPU_5] Task T8-LC -> FINISH
  319.0000: [CPU_7] Task T9-LC -> FINISH
  320.0000: [CPU_5] Task T8-LC -> START
  347.0000: [CPU_6] Task T10-LC -> FINISH
  353.0000: [CPU_5] Task T8-LC -> FINISH
  360.0000: [CPU_5] Task T8-LC -> START
  393.0000: [CPU_5] Task T8-LC -> FINISH
  400.0000: [CPU_5] Task T8-LC -> START
  400.0000: [CPU_6] Task T10-LC -> START
  400.0000: [CPU_7] Task T9-LC -> START
  433.0000: [CPU_5] Task T8-LC -> FINISH
  440.0000: [CPU_5] Task T8-LC -> START
  473.0000: [CPU_5] Task T8-LC -> FINISH
  480.0000: [CPU_5] Task T8-LC -> START
  513.0000: [CPU_5] Task T8-LC -> FINISH
  519.0000: [CPU_7] Task T9-LC -> FINISH
  520.0000: [CPU_5] Task T8-LC -> START
  547.0000: [CPU_6] Task T10-LC -> FINISH
  553.0000: [CPU_5] Task T8-LC -> FINISH
  560.0000: [CPU_5] Task T8-LC -> START
  593.0000: [CPU_5] Task T8-LC -> FINISH
  600.0000: [CPU_5] Task T8-LC -> START
  600.0000: [CPU_6] Task T10-LC -> START
  600.0000: [CPU_7] Task T9-LC -> START
  633.0000: [CPU_5] Task T8-LC -> FINISH
  640.0000: [CPU_5] Task T8-LC -> START
  673.0000: [CPU_5] Task T8-LC -> FINISH
  680.0000: [CPU_5] Task T8-LC -> START
  713.0000: [CPU_5] Task T8-LC -> FINISH
  719.0000: [CPU_7] Task T9-LC -> FINISH
  720.0000: [CPU_5] Task T8-LC -> START
  747.0000: [CPU_6] Task T10-LC -> FINISH
  753.0000: [CPU_5] Task T8-LC -> FINISH
  760.0000: [CPU_5] Task T8-LC -> START
  793.0000: [CPU_5] Task T8-LC -> FINISH
  800.0000: [CPU_5] Task T8-LC -> START
  800.0000: [CPU_6] Task T10-LC -> START
  800.0000: [CPU_7] Task T9-LC -> START
  833.0000: [CPU_5] Task T8-LC -> FINISH
  840.0000: [CPU_5] Task T8-LC -> START
  873.0000: [CPU_5] Task T8-LC -> FINISH
  880.0000: [CPU_5] Task T8-LC -> START
  913.0000: [CPU_5] Task T8-LC -> FINISH
  919.0000: [CPU_7] Task T9-LC -> FINISH
  920.0000: [CPU_5] Task T8-LC -> START
  947.0000: [CPU_6] Task T10-LC -> FINISH
  953.0000: [CPU_5] Task T8-LC -> FINISH
  960.0000: [CPU_5] Task T8-LC -> START
  993.0000: [CPU_5] Task T8-LC -> FINISH
