Core Name,Task Name,Period,WCET,Utilization
CPU_0,T20-Copy1-HC,400,114,0.28598720564011576
CPU_0,T2-Copy1-HC,1000,245,0.24459527742488874
CPU_0,T10-Copy1-HC,500,111,0.22234450760907087
CPU_0,T13-Copy1-HC,400,87,0.21693931600821337
CPU_0,T30-Copy1-HC,40,1,0.026884701614309964
CPU_0,T25-Copy1-HC,1000,2,0.002418222979744774
CPU_0,,,,0.9991692312763436
CPU_1,T20-Copy2-HC,400,114,0.28598720564011576
CPU_1,T2-Copy2-HC,1000,245,0.24459527742488874
CPU_1,T10-Copy2-HC,500,111,0.22234450760907087
CPU_1,T13-Copy2-HC,400,87,0.21693931600821337
CPU_1,T30-Copy2-HC,40,1,0.026884701614309964
CPU_1,T25-Copy2-HC,1000,2,0.002418222979744774
CPU_1,,,,0.9991692312763436
CPU_2,T20-Copy3-HC,400,114,0.28598720564011576
CPU_2,T2-Copy3-HC,1000,245,0.24459527742488874
CPU_2,T10-Copy3-HC,500,111,0.22234450760907087
CPU_2,T13-Copy3-HC,400,87,0.21693931600821337
CPU_2,T30-Copy3-HC,40,1,0.026884701614309964
CPU_2,T25-Copy3-HC,1000,2,0.002418222979744774
CPU_2,,,,0.9991692312763436
CPU_3,T8-Copy1-HC,200,32,0.1602778453612602
CPU_3,T27-Copy1-HC,400,52,0.13023790609184704
CPU_3,T28-Copy1-HC,10,1,0.12271022631566246
CPU_3,T24-Copy1-HC,20,2,0.10276348074559068
CPU_3,T4-Copy1-HC,10,1,0.09623010631882067
CPU_3,T11-Copy1-HC,40,4,0.0933152487441955
CPU_3,T14-Copy1-HC,400,37,0.09324527248662218
CPU_3,T17-Copy1-HC,20,2,0.08807403322857284
CPU_3,T3-Copy1-HC,200,17,0.0834164225694541
CPU_3,T6-Copy1-HC,400,10,0.02540726171245744
CPU_3,,,,0.9956778035744832
CPU_4,T8-Copy2-HC,200,32,0.1602778453612602
CPU_4,T27-Copy2-HC,400,52,0.13023790609184704
CPU_4,T28-Copy2-HC,10,1,0.12271022631566246
CPU_4,T24-Copy2-HC,20,2,0.10276348074559068
CPU_4,T4-Copy2-HC,10,1,0.09623010631882067
CPU_4,T11-Copy2-HC,40,4,0.0933152487441955
CPU_4,T14-Copy2-HC,400,37,0.09324527248662218
CPU_4,T17-Copy2-HC,20,2,0.08807403322857284
CPU_4,T3-Copy2-HC,200,17,0.0834164225694541
CPU_4,T6-Copy2-HC,400,10,0.02540726171245744
CPU_4,,,,0.9956778035744832
CPU_5,T8-Copy3-HC,200,32,0.1602778453612602
CPU_5,T27-Copy3-HC,400,52,0.13023790609184704
CPU_5,T28-Copy3-HC,10,1,0.12271022631566246
CPU_5,T24-Copy3-HC,20,2,0.10276348074559068
CPU_5,T4-Copy3-HC,10,1,0.09623010631882067
CPU_5,T11-Copy3-HC,40,4,0.0933152487441955
CPU_5,T14-Copy3-HC,400,37,0.09324527248662218
CPU_5,T17-Copy3-HC,20,2,0.08807403322857284
CPU_5,T3-Copy3-HC,200,17,0.0834164225694541
CPU_5,T6-Copy3-HC,400,10,0.02540726171245744
CPU_5,,,,0.9956778035744832
CPU_6,T26-Copy1-HC,200,12,0.0609655793198692
CPU_6,T23-Copy1-HC,10,1,0.06029841517630737
CPU_6,T9-Copy1-HC,500,28,0.05591553873732025
CPU_6,T12-Copy1-HC,1000,42,0.04180488916520216
CPU_6,T16-Copy1-HC,20,1,0.03541052293909175
CPU_6,T18-Copy1-HC,40,1,0.030792458612845703
CPU_6,T1-Copy1-HC,400,12,0.030202896301934956
CPU_6,T15-Copy1-HC,40,1,0.02486797064361183
CPU_6,T22-Copy1-HC,1000,20,0.019950042285723057
CPU_6,T5-Copy1-HC,10,1,0.01966404328689168
CPU_6,T19-Copy1-HC,400,5,0.012498353469988288
CPU_6,T21-Copy1-HC,500,6,0.011766847461838204
CPU_6,T29-Copy1-HC,100,1,0.008626147393515637
CPU_6,T7-Copy1-HC,50,1,0.007527041379495003
CPU_6,T45-LC,200,87,0.43623382586265524
CPU_6,T40-LC,10,1,0.11159588840848755
CPU_6,T39-LC,1000,29,0.029299298695195652
CPU_6,,,,0.9974197591399736
CPU_7,T26-Copy2-HC,200,12,0.0609655793198692
CPU_7,T23-Copy2-HC,10,1,0.06029841517630737
CPU_7,T9-Copy2-HC,500,28,0.05591553873732025
CPU_7,T12-Copy2-HC,1000,42,0.04180488916520216
CPU_7,T16-Copy2-HC,20,1,0.03541052293909175
CPU_7,T18-Copy2-HC,40,1,0.030792458612845703
CPU_7,T1-Copy2-HC,400,12,0.030202896301934956
CPU_7,T15-Copy2-HC,40,1,0.02486797064361183
CPU_7,T22-Copy2-HC,1000,20,0.019950042285723057
CPU_7,T5-Copy2-HC,10,1,0.01966404328689168
CPU_7,T19-Copy2-HC,400,5,0.012498353469988288
